A=5818 B=3462 C=7313 X=198986823 Y=4195674399 Z=97962322646 M=7590
A=6702 B=4571 C=9408 X=617573226 Y=5683905381 Z=59305272843 M=7091
A=5800 B=8386 C=8117 X=223923601 Y=8143209417 Z=68986535958 M=1484
A=8337 B=7452 C=9957 X=950877713 Y=9854685275 Z=20162823063 M=4436
A=8574 B=4065 C=7546 X=912496330 Y=8727445963 Z=65026681771 M=6956
A=8447 B=6556 C=9593 X=834823492 Y=1124071871 Z=62224162462 M=4370
A=4749 B=4239 C=8344 X=472857169 Y=3711442691 Z=63468950963 M=6217
A=9405 B=9216 C=5675 X=803684197 Y=8949199990 Z=34647398904 M=4331
A=4667 B=7446 C=8030 X=795771039 Y=9497484610 Z=34265190314 M=5027
A=5096 B=3235 C=8921 X=571324994 Y=6881243972 Z=64774461411 M=1595
A=4466 B=3350 C=9172 X=411563980 Y=8641287548 Z=78162940555 M=3426
A=5212 B=8009 C=8114 X=588727597 Y=7271974174 Z=30576772106 M=8898
A=9017 B=6217 C=5525 X=793586973 Y=2340568557 Z=84944384444 M=9661
A=4506 B=6623 C=5168 X=511830884 Y=7206396723 Z=93111943908 M=5757
A=6370 B=6883 C=6290 X=589756678 Y=3345755530 Z=94820840150 M=9896
A=3076 B=5064 C=7741 X=468520825 Y=3424174910 Z=82781944392 M=1743
A=4090 B=5205 C=7763 X=243513903 Y=8892635512 Z=97999100358 M=5343
A=7016 B=7513 C=6170 X=683230072 Y=4406238625 Z=76291335389 M=6169
A=3969 B=5970 C=5268 X=171627353 Y=6144797944 Z=60851538057 M=8914
A=9000 B=7783 C=9486 X=948408293 Y=5575479580 Z=64395416418 M=7227
A=9604 B=6416 C=5844 X=604475206 Y=1979517622 Z=59200856989 M=2883
A=2722 B=9725 C=5963 X=225750630 Y=1162279165 Z=76075784629 M=5402
A=5713 B=3553 C=5565 X=895869345 Y=9733820389 Z=53932829081 M=2569
A=9362 B=9000 C=7857 X=864133808 Y=5940405261 Z=30424716061 M=8594
A=2418 B=6068 C=6319 X=284735711 Y=7612831118 Z=46803132481 M=9284
A=8204 B=8463 C=7850 X=713584825 Y=6163781788 Z=19056217908 M=6167
A=5461 B=3443 C=5841 X=512607593 Y=8013931371 Z=67300719044 M=6275
A=5021 B=8921 C=5269 X=640569168 Y=2476142515 Z=99677306397 M=5442
A=3431 B=6596 C=8106 X=998673775 Y=3453260345 Z=54556964908 M=6144
A=8033 B=3800 C=7153 X=964560778 Y=3967650077 Z=22416628994 M=6972
A=2076 B=4582 C=9485 X=594356261 Y=7979033826 Z=34471402886 M=9269
A=3082 B=9739 C=8631 X=290882630 Y=4015899533 Z=39668788870 M=1012
A=8223 B=3163 C=8297 X=121582860 Y=2543670399 Z=31374691757 M=2900
A=7486 B=5548 C=7874 X=217028735 Y=6434497928 Z=29959855742 M=7506
A=4809 B=4428 C=5402 X=724739036 Y=6697336579 Z=83953495014 M=4867
A=7175 B=3760 C=7507 X=590150860 Y=7979256881 Z=40548509437 M=1008
A=8034 B=7745 C=5013 X=490106943 Y=4285263767 Z=48819361029 M=3601
A=3926 B=4838 C=8767 X=959374097 Y=1655239723 Z=59835413453 M=3234
A=2744 B=5832 C=6906 X=769627992 Y=1502101452 Z=55171914007 M=4083
A=2908 B=3121 C=9532 X=231913122 Y=3710121199 Z=59980298986 M=3715
A=6180 B=5860 C=8448 X=851472921 Y=1692765371 Z=84634724318 M=3223
A=2229 B=8618 C=5904 X=180196018 Y=5938751825 Z=54754018289 M=1094
A=2307 B=8226 C=7461 X=100208740 Y=4803963068 Z=40906315572 M=9637
A=3993 B=9210 C=8908 X=759966619 Y=3083074831 Z=71726725787 M=9050
A=5176 B=7470 C=7681 X=160536666 Y=8079371869 Z=54269832760 M=5056
A=9234 B=8240 C=5590 X=877996120 Y=5540454004 Z=88803207985 M=5904
A=4214 B=6481 C=6127 X=320881226 Y=1839774684 Z=18328108336 M=1863
A=8879 B=6406 C=7940 X=377213013 Y=7089623460 Z=31800026469 M=6762
A=4366 B=4819 C=6162 X=203342968 Y=4826655581 Z=15734826696 M=3751
A=9332 B=7916 C=9913 X=691400604 Y=4170246468 Z=26475771776 M=9376
A=3617 B=7037 C=6537 X=628760593 Y=8426094793 Z=21998370978 M=6713
A=3800 B=4016 C=5690 X=952205684 Y=4370203637 Z=56670861672 M=9151
A=2336 B=6184 C=9254 X=942614776 Y=3896411341 Z=94908095151 M=6068
A=8538 B=3767 C=8837 X=937475938 Y=7202995956 Z=30384467644 M=6523
A=6873 B=3141 C=6631 X=417054471 Y=4783964545 Z=28157213595 M=8096
A=3520 B=8582 C=7909 X=945068648 Y=6705242922 Z=40785338056 M=1914
A=6500 B=9452 C=5006 X=541708580 Y=5825887491 Z=25440115770 M=3835
A=8242 B=4547 C=6224 X=682932550 Y=5059035594 Z=47759670009 M=2234
A=5212 B=5884 C=5324 X=518262605 Y=6224100948 Z=38319195489 M=9178
A=7709 B=5070 C=8720 X=394804147 Y=6015238196 Z=72781241497 M=8578
A=6810 B=3327 C=5981 X=887332821 Y=5422390345 Z=12085023371 M=4309
A=2830 B=9265 C=8994 X=318456633 Y=7207893727 Z=28034200397 M=6446
A=3231 B=9043 C=9925 X=111550299 Y=1963298700 Z=76449640567 M=1837
A=7911 B=6954 C=8159 X=699327313 Y=2662636615 Z=32404181544 M=3495
A=9812 B=6601 C=7510 X=403174772 Y=7687758056 Z=31831841416 M=5530
A=3448 B=6006 C=8274 X=819596886 Y=2031863364 Z=35044189708 M=2523
A=9881 B=9216 C=7171 X=122653255 Y=5110148828 Z=34817969219 M=9737
A=3075 B=9884 C=5491 X=301098460 Y=3904578756 Z=34316362739 M=1682
A=6175 B=8772 C=7315 X=390499420 Y=4808778217 Z=92527814540 M=7406
A=9077 B=5802 C=7235 X=852812748 Y=6411194760 Z=55141606032 M=4128
A=6443 B=5955 C=9000 X=219470028 Y=7161628858 Z=83688947459 M=9704
A=8569 B=7779 C=8908 X=371134453 Y=7820967083 Z=66808641382 M=5104
A=5873 B=4523 C=6264 X=349811567 Y=3993899814 Z=25295547429 M=3684
A=4987 B=7744 C=7027 X=417869223 Y=9129682711 Z=64986433202 M=5133
A=8313 B=8267 C=8248 X=100684204 Y=2458353770 Z=86162791953 M=9123
A=2445 B=6040 C=5473 X=594128642 Y=1734778530 Z=20433023788 M=4508
A=7187 B=6654 C=8848 X=958430976 Y=1243218766 Z=52453532660 M=1197
A=4698 B=3480 C=8941 X=190485930 Y=2863403744 Z=26379318159 M=1645
A=9988 B=3422 C=5327 X=558628818 Y=4256578270 Z=25910879633 M=3447
A=2401 B=5758 C=9084 X=709268404 Y=7781765452 Z=58409878984 M=8231
A=3241 B=8472 C=9734 X=367920252 Y=4739965563 Z=65205324244 M=7285
A=4354 B=5264 C=9635 X=243872923 Y=5663627450 Z=97031023735 M=2186
A=9878 B=8803 C=7748 X=315878189 Y=7873490866 Z=83725463857 M=8057
A=8572 B=9029 C=5527 X=136462914 Y=9722230854 Z=36548983304 M=3902
A=9873 B=6938 C=6470 X=245801374 Y=9096412973 Z=54618242700 M=1670
A=3654 B=3521 C=8504 X=486242174 Y=1226536493 Z=78322045611 M=8375
A=8716 B=6439 C=6031 X=813891138 Y=5558913126 Z=63951594496 M=6049
A=7614 B=8558 C=7212 X=237949902 Y=9983260648 Z=61211815330 M=3617
A=2377 B=6805 C=9154 X=992462943 Y=7718485524 Z=63541933007 M=1022
A=6953 B=7965 C=6460 X=382057117 Y=8333057070 Z=41335486728 M=6285
A=5940 B=9761 C=8838 X=608031463 Y=7130888870 Z=50835620236 M=5087
A=3780 B=7609 C=7310 X=218214396 Y=7243489902 Z=37920845547 M=8989
A=9163 B=9726 C=7174 X=230414348 Y=7932651891 Z=76707650750 M=6390
A=2760 B=7296 C=5634 X=162502772 Y=5471682401 Z=11317623368 M=2210
A=9257 B=7194 C=8098 X=724092080 Y=2777408575 Z=15416383752 M=2625
A=7241 B=4643 C=6192 X=907123149 Y=9802326406 Z=11231934712 M=6508
A=9212 B=5175 C=9412 X=292368093 Y=6054556539 Z=80293750057 M=5984
A=3628 B=5446 C=6571 X=372052219 Y=8783975460 Z=46130961840 M=8831
A=6518 B=3800 C=8090 X=728806092 Y=8446582277 Z=97579311846 M=4164
A=3697 B=5732 C=6561 X=252711598 Y=3510824599 Z=45617542060 M=3366
A=3551 B=3861 C=7069 X=369350163 Y=5997374106 Z=87129610606 M=5035
A=3949 B=4869 C=7793 X=557820774 Y=6258009052 Z=57028132477 M=7965
A=8337 B=3338 C=8858 X=927685977 Y=3316395340 Z=60085022750 M=5944
A=6319 B=8973 C=8682 X=107717391 Y=9403074781 Z=80552748310 M=3179
A=4708 B=7482 C=9358 X=947533281 Y=5003540506 Z=97879397418 M=3602
A=9996 B=8760 C=8644 X=773231025 Y=9369439399 Z=93290410634 M=9001
A=8567 B=9955 C=8895 X=601409968 Y=6018894692 Z=22439078522 M=4093
A=6072 B=4376 C=8611 X=337876972 Y=2105535971 Z=54732766646 M=4330
A=2187 B=8464 C=5939 X=901106954 Y=2607185872 Z=78746322920 M=8014
A=7731 B=8168 C=7580 X=879903361 Y=5976496161 Z=83274812045 M=7279
A=3160 B=4971 C=9436 X=363239502 Y=1867099009 Z=51688389458 M=4254
A=7350 B=5497 C=9594 X=546358602 Y=4239994108 Z=37946001775 M=6001
A=2232 B=8883 C=5186 X=179200495 Y=4791093694 Z=73648439615 M=7323
A=2642 B=5281 C=5633 X=621268148 Y=3297282113 Z=18058529541 M=2661
A=2111 B=5081 C=6061 X=294091408 Y=4574674956 Z=68457161925 M=5543
A=6554 B=5382 C=5291 X=398029850 Y=1872827461 Z=87764039137 M=3746
A=3314 B=6794 C=5352 X=758964595 Y=6635360846 Z=47083322235 M=8775
A=5382 B=7533 C=5735 X=680966836 Y=4827016754 Z=70822624774 M=8663
A=7588 B=9721 C=7220 X=170634683 Y=8062012126 Z=75906254510 M=5144
A=8826 B=9287 C=6959 X=989863675 Y=1578809820 Z=87872567953 M=2499
A=3163 B=9128 C=6113 X=233221579 Y=6957752841 Z=94324961401 M=9092
A=9235 B=6779 C=7724 X=902370497 Y=6803606069 Z=35345556642 M=7512
A=4152 B=7707 C=5700 X=528750097 Y=7549545229 Z=69364443690 M=5812
A=9713 B=5148 C=5732 X=441126469 Y=4510438500 Z=70397911261 M=8255
A=8263 B=7057 C=5391 X=508364453 Y=4854947599 Z=51408360071 M=2144
A=8696 B=7261 C=7623 X=912081949 Y=7708087654 Z=27234474961 M=3794
A=8840 B=7810 C=7237 X=136952374 Y=4354332864 Z=15263835087 M=2620
A=2917 B=4290 C=7666 X=769386604 Y=4658766101 Z=34089460696 M=7577
A=3812 B=7214 C=7724 X=680823692 Y=5733641097 Z=59194390142 M=7637
A=8278 B=7406 C=6061 X=789803882 Y=7328986026 Z=37926894270 M=4414
A=4847 B=5342 C=5464 X=826228857 Y=8149152846 Z=84936315970 M=8243
A=6401 B=7738 C=9042 X=154765538 Y=3970194828 Z=99928820874 M=7599
A=7389 B=6219 C=7504 X=191701042 Y=9361666501 Z=70339210859 M=1384
A=7924 B=4038 C=7896 X=348400028 Y=2586772715 Z=39191067435 M=6838
A=2684 B=6015 C=8493 X=461975622 Y=2383252003 Z=89592627582 M=2548
A=7619 B=4430 C=5638 X=632221756 Y=2325825533 Z=92196481055 M=2986
A=2352 B=3119 C=9519 X=950121279 Y=9801323962 Z=51448507229 M=7615
A=4540 B=8730 C=6627 X=957853718 Y=4264050041 Z=28966116196 M=6992
A=9308 B=9117 C=6519 X=413507419 Y=9035149708 Z=82733966943 M=9428
A=3465 B=3088 C=6947 X=116484281 Y=3661691417 Z=27566897918 M=3987
A=6913 B=3138 C=6968 X=933808343 Y=4458559592 Z=78940575255 M=9038
A=9399 B=9356 C=7538 X=224090294 Y=6585624739 Z=47364334454 M=5682
A=2039 B=6609 C=9901 X=114057388 Y=9258019170 Z=69908126036 M=6039
A=8958 B=7649 C=7614 X=718821215 Y=1982957572 Z=99037075372 M=7162
A=3635 B=9464 C=9480 X=566885749 Y=5345224344 Z=34838839121 M=1015
A=4234 B=3087 C=7675 X=457193504 Y=9062593214 Z=19571905788 M=9843
A=2770 B=7149 C=7285 X=698262857 Y=8613147243 Z=19927353338 M=3386
A=5859 B=9678 C=5528 X=336063152 Y=6670351145 Z=84494668243 M=2666
A=7839 B=4463 C=7252 X=570921898 Y=8159570306 Z=15477251159 M=6121
A=3921 B=8927 C=6939 X=641840515 Y=5124712896 Z=29760909906 M=6265
A=6813 B=5986 C=6574 X=127308606 Y=3043493662 Z=57037770251 M=5725
A=6534 B=7018 C=9625 X=944819276 Y=5682582579 Z=32056182969 M=3536
A=4596 B=5589 C=6771 X=153031798 Y=1379363213 Z=56087319208 M=6837
A=5499 B=6891 C=5585 X=383604662 Y=4868894117 Z=79164468838 M=6056
A=5302 B=3930 C=9630 X=316728695 Y=1025922607 Z=78395377020 M=9260
A=7101 B=8585 C=5438 X=451971580 Y=7211421134 Z=73152691190 M=1205
A=9818 B=4346 C=8294 X=579508857 Y=4541501346 Z=85683606680 M=3315
A=7161 B=6183 C=6650 X=586263531 Y=7014934232 Z=78179708873 M=4318
A=2541 B=8971 C=5701 X=337619972 Y=4935177811 Z=26557056341 M=6366
A=8159 B=8832 C=6360 X=675540459 Y=2529946818 Z=50839293691 M=8812
A=9122 B=6668 C=8631 X=263063638 Y=2327564101 Z=42147612403 M=9928
A=8213 B=6469 C=5665 X=258763681 Y=8920415160 Z=34700466372 M=6181
A=3322 B=8120 C=6332 X=827397520 Y=9443970264 Z=11159091032 M=3458
A=4429 B=9271 C=7821 X=741441158 Y=5061145937 Z=51838592984 M=1236
A=8593 B=7909 C=7436 X=434380773 Y=5149683767 Z=56490796952 M=3915
A=4258 B=9421 C=9301 X=763399928 Y=2623972609 Z=53755705164 M=1146
A=8817 B=5470 C=6984 X=443783410 Y=2342125638 Z=23962841273 M=4268
A=6210 B=9510 C=8279 X=976677797 Y=1307049008 Z=78394730708 M=2664
A=5252 B=6173 C=9780 X=355087082 Y=9168647657 Z=79987030999 M=1811
A=8200 B=4881 C=9944 X=885411258 Y=5665855592 Z=34836293512 M=8646
A=7124 B=9008 C=6662 X=414523290 Y=5896407788 Z=79001151338 M=3567
A=9978 B=8978 C=6689 X=934393544 Y=6431510098 Z=86909299144 M=1485
A=2254 B=4361 C=9063 X=842600406 Y=3468789187 Z=13593248798 M=4035
A=5847 B=5181 C=7982 X=674497874 Y=8939160917 Z=84984939611 M=5343
A=7898 B=7943 C=9022 X=662060086 Y=6322264026 Z=80951631629 M=7100
A=8812 B=9498 C=7302 X=521495348 Y=2265496765 Z=93378845473 M=8454
A=8819 B=3938 C=5016 X=574453574 Y=5944233342 Z=98725374812 M=1759
A=4935 B=7077 C=7369 X=361102697 Y=5236469218 Z=78010808168 M=4378
A=5009 B=3530 C=7780 X=867582368 Y=7688508295 Z=25158336393 M=9436
A=7293 B=5242 C=9359 X=258762734 Y=6037511490 Z=83089816431 M=4775
A=9983 B=3295 C=6972 X=532941538 Y=2430474221 Z=71452301403 M=4385
A=7785 B=3143 C=8083 X=551547106 Y=9984523327 Z=21375813505 M=1967
A=6753 B=3780 C=6857 X=650455831 Y=7277390520 Z=76690289298 M=6452
A=5409 B=9957 C=8043 X=987639270 Y=2694574007 Z=55470545226 M=9689
A=9816 B=6178 C=6202 X=248076129 Y=2491509204 Z=54089340057 M=3130
A=7490 B=7343 C=7105 X=368768795 Y=1611348609 Z=27852534361 M=8890
A=7540 B=3448 C=6361 X=774928798 Y=5411573760 Z=41352920747 M=3296
A=6134 B=9573 C=8911 X=445053801 Y=8199974745 Z=91004240349 M=3262
A=5714 B=3842 C=7588 X=842478286 Y=7018978930 Z=10803543843 M=1843
A=9283 B=8722 C=8402 X=234488445 Y=8003352847 Z=76801911370 M=3632
A=2295 B=4883 C=6780 X=140616129 Y=3215607344 Z=97597573485 M=8045
A=3120 B=7589 C=9149 X=776020915 Y=9294707757 Z=98296170825 M=5985
A=9362 B=3276 C=5133 X=916258633 Y=5791251487 Z=96661138045 M=7726
A=4766 B=5814 C=5560 X=364247755 Y=4353704844 Z=77240018377 M=6937
A=2156 B=8780 C=5328 X=863055796 Y=4033806783 Z=98477206312 M=1483
A=8765 B=7710 C=8785 X=388512273 Y=2772405795 Z=25941510694 M=6804
A=7987 B=6244 C=6372 X=847731909 Y=2865165824 Z=62798648864 M=9777
A=3098 B=3137 C=9299 X=489273047 Y=4909734458 Z=98018679117 M=3119
A=2349 B=7205 C=8508 X=671977145 Y=3251293739 Z=27928535651 M=2019
A=7175 B=8569 C=7179 X=240554886 Y=7623313019 Z=31796212279 M=8977
A=3863 B=7873 C=8034 X=689485189 Y=1216817764 Z=72522553745 M=6241
A=8235 B=7006 C=9446 X=705147087 Y=8379623347 Z=56267328610 M=8891
A=4684 B=8422 C=5002 X=949973308 Y=4589461792 Z=93171506917 M=4420
A=2191 B=8833 C=7990 X=693484833 Y=2599874819 Z=78610642722 M=4980
A=5380 B=3809 C=7506 X=983786264 Y=7059508425 Z=64622311564 M=4761
A=7445 B=4672 C=6766 X=372712057 Y=7334967155 Z=99469801562 M=8420
A=9176 B=9061 C=5706 X=708628921 Y=2732171148 Z=74146283305 M=1560
A=8083 B=3554 C=7296 X=829981168 Y=3495138590 Z=93158110399 M=9798
A=3967 B=7126 C=5612 X=393813952 Y=4081972789 Z=49214302419 M=5689
A=3838 B=5597 C=9355 X=694975896 Y=9268745437 Z=90210054141 M=9775
A=9804 B=9117 C=8147 X=491038172 Y=7591765107 Z=70540752375 M=7047
A=9713 B=7561 C=9299 X=241192839 Y=4344010381 Z=37983675011 M=5469
A=4995 B=5526 C=6597 X=671635104 Y=5566747589 Z=62497806070 M=2242
A=4818 B=8107 C=5842 X=826597555 Y=1018542021 Z=26040643522 M=9370
A=9052 B=9824 C=6073 X=597718308 Y=3797244443 Z=98365748816 M=8383
A=5734 B=7080 C=8736 X=235958218 Y=6340738607 Z=63710721541 M=7348
A=6485 B=3468 C=5136 X=901983427 Y=2187101187 Z=63512322420 M=4924
A=7149 B=5313 C=7745 X=774247029 Y=3336888139 Z=10121638096 M=8454
A=6502 B=5925 C=7818 X=248921177 Y=5139613634 Z=44407576262 M=8862
A=3494 B=3757 C=9659 X=443588362 Y=7977838623 Z=74477801373 M=5954
A=2688 B=3731 C=7105 X=954243922 Y=3447467239 Z=75917095899 M=2266
A=4602 B=9697 C=5822 X=610954939 Y=4477999130 Z=88254944090 M=3696
A=4064 B=3564 C=5253 X=555010649 Y=2202765253 Z=14348955021 M=3797
A=5979 B=6676 C=8222 X=130132716 Y=6249546396 Z=60542718204 M=7496
A=9023 B=4597 C=8644 X=270834233 Y=6886388323 Z=55845831058 M=1294
A=4353 B=4455 C=5273 X=360941722 Y=6710773776 Z=51488836813 M=5689
A=2147 B=8005 C=9886 X=868258226 Y=3640464606 Z=22635455188 M=9609
A=2987 B=6965 C=5258 X=561567506 Y=5867092487 Z=74678946981 M=9627
A=3653 B=9645 C=6829 X=361170998 Y=8494689993 Z=85426837136 M=5806
A=8214 B=6762 C=9676 X=525812182 Y=1014361275 Z=38234836804 M=8111
A=2352 B=3531 C=9162 X=871767227 Y=4921451208 Z=66776519206 M=9172
A=5751 B=9526 C=8078 X=420999777 Y=6140574776 Z=17275931643 M=2243
A=4670 B=3145 C=5570 X=406518534 Y=4286242342 Z=12609743186 M=4002
A=7115 B=9619 C=5481 X=423756545 Y=5334978690 Z=47325510477 M=1897
A=9585 B=7860 C=8460 X=204261067 Y=5172861522 Z=39430277275 M=5196
A=7777 B=9756 C=7623 X=886208609 Y=8288116950 Z=68239167054 M=7172
A=4514 B=3432 C=8368 X=279592259 Y=1996298718 Z=10272800261 M=7830
A=4473 B=6713 C=8510 X=787381667 Y=4226785912 Z=97859866691 M=1689
A=4196 B=7505 C=7920 X=279770689 Y=8197722744 Z=83733466310 M=7749
A=5937 B=9126 C=9519 X=740318850 Y=7740701980 Z=61853123145 M=5011
A=5349 B=4621 C=9226 X=756946830 Y=8517184309 Z=87557641194 M=2783
A=9655 B=6215 C=6675 X=705330419 Y=7202088741 Z=11321321085 M=2435
A=7111 B=7033 C=5857 X=297035045 Y=6729661603 Z=93509821409 M=3226
A=2820 B=5101 C=6845 X=164739632 Y=7922918722 Z=93827291622 M=5517
A=6466 B=3723 C=8908 X=553850463 Y=8845406980 Z=30374112672 M=5843
A=6830 B=8155 C=9399 X=850128236 Y=8006142351 Z=83941595739 M=3010
A=6221 B=9014 C=5431 X=733987753 Y=8762973343 Z=53368539318 M=4967
A=5794 B=5386 C=8538 X=582929998 Y=3348890364 Z=41256106983 M=6550
A=9667 B=3131 C=9226 X=514663296 Y=2910046873 Z=15615231282 M=8199
A=5083 B=8072 C=5542 X=412026964 Y=4425190908 Z=57585272535 M=6156
A=2047 B=9679 C=9241 X=324874946 Y=5963329837 Z=37231425781 M=5624
A=6767 B=6269 C=6760 X=663457660 Y=9679410518 Z=38337442197 M=4859
A=9897 B=5562 C=9642 X=688217345 Y=6208244132 Z=90517835392 M=1969
A=5879 B=3686 C=5914 X=720327976 Y=1567536635 Z=41074811047 M=2721
A=4666 B=3195 C=8682 X=720789052 Y=3572088875 Z=75696522017 M=9871
A=6597 B=9250 C=8740 X=708820606 Y=7197869838 Z=22636539333 M=7559
A=8656 B=9079 C=9282 X=577725994 Y=3282798739 Z=89469510511 M=4342
A=2031 B=4590 C=9802 X=766653469 Y=1075966034 Z=40145836445 M=1456
A=2243 B=7937 C=8367 X=909790532 Y=8954019563 Z=12085805828 M=4718
A=2330 B=7063 C=8888 X=404102482 Y=1722199780 Z=30019301582 M=8419
A=5558 B=4339 C=8110 X=496833927 Y=1855419331 Z=40693076114 M=9290
A=9753 B=5687 C=5928 X=484349647 Y=9910525246 Z=95352058647 M=4242
A=3695 B=3617 C=9079 X=162573165 Y=2539156272 Z=98883119634 M=7825
A=8189 B=8029 C=6064 X=860495508 Y=3389838562 Z=67341677583 M=6125
A=9167 B=7727 C=6978 X=717762601 Y=2007030359 Z=34832354971 M=5876
A=7998 B=7746 C=7920 X=199701316 Y=8350271158 Z=64651938970 M=2812
A=5932 B=3452 C=6850 X=118783457 Y=1349304105 Z=85091936246 M=4670
A=6991 B=7525 C=9148 X=968048763 Y=2487915954 Z=87798050385 M=1322
A=7762 B=3666 C=9050 X=779685806 Y=8282165027 Z=68845026727 M=5986
A=7400 B=8787 C=6325 X=288250511 Y=9287031789 Z=76098584734 M=1039
A=8847 B=8606 C=7881 X=138180341 Y=4969297445 Z=87366709742 M=8503
A=3469 B=3104 C=9311 X=934898243 Y=9949359174 Z=56162347907 M=8040
A=3821 B=7601 C=7154 X=123997948 Y=6577210109 Z=11715983516 M=6681
A=3941 B=6165 C=6768 X=237178162 Y=6376624382 Z=22783863309 M=5506
A=8951 B=5544 C=5217 X=140059603 Y=9494435649 Z=33221878120 M=2758
A=3461 B=7559 C=8456 X=258376216 Y=2722390942 Z=41376873826 M=5114
A=8596 B=6977 C=8540 X=599945059 Y=1498458217 Z=92664495272 M=5066
A=5207 B=6017 C=8813 X=477014864 Y=3289046888 Z=89998522711 M=6100
A=4288 B=9724 C=9531 X=771429633 Y=8216792991 Z=93638874360 M=5902
A=9090 B=7297 C=5782 X=396517880 Y=6632862634 Z=16175769996 M=5490
A=2783 B=7655 C=9288 X=439975643 Y=4112881704 Z=58859435230 M=8482
A=5713 B=5822 C=8086 X=909518425 Y=2945841191 Z=54902718486 M=5483
A=3256 B=8420 C=5018 X=996593111 Y=3406377896 Z=41151696501 M=6878
A=8391 B=4497 C=7928 X=440383687 Y=7613317698 Z=64475421077 M=7452
A=3141 B=7448 C=6393 X=347448311 Y=1978608994 Z=16687905996 M=1649
A=2886 B=4545 C=6264 X=171266967 Y=1335253080 Z=38671056158 M=7534
A=3634 B=4733 C=7742 X=360761823 Y=8444923783 Z=21640116245 M=6092
A=7394 B=9366 C=7843 X=708908585 Y=5073028309 Z=84144706264 M=8049
A=7276 B=9061 C=5139 X=849038541 Y=2204515243 Z=19004958710 M=8034
A=3311 B=4231 C=7297 X=957274045 Y=4205971469 Z=44021408147 M=7563
A=4986 B=4693 C=6100 X=673429714 Y=9395558252 Z=64793471485 M=4227
A=6931 B=4433 C=6123 X=388039771 Y=9677812238 Z=11047754655 M=6300
A=6611 B=9194 C=7688 X=507993902 Y=1473450310 Z=24619006394 M=6359
A=9433 B=5278 C=8551 X=532386499 Y=1635227605 Z=35980400746 M=9616
A=9928 B=4336 C=7865 X=371204509 Y=2325554503 Z=62325967143 M=4518
A=5925 B=4919 C=7325 X=412735535 Y=7018911141 Z=72520492332 M=1061
A=4296 B=8574 C=8133 X=223448084 Y=7532305233 Z=46099958171 M=1029
A=9072 B=4063 C=7538 X=755069319 Y=4237133541 Z=64630668443 M=1441
A=5666 B=7860 C=8710 X=521726094 Y=4574071882 Z=35124108067 M=5216
A=3195 B=6766 C=6013 X=571827335 Y=1177517292 Z=40985085773 M=3883
A=8005 B=3061 C=5460 X=352438751 Y=4699466031 Z=95255407730 M=5085
A=4524 B=7258 C=5876 X=983866660 Y=9789683115 Z=14932868064 M=6139
A=5537 B=5330 C=5056 X=914599166 Y=7368029092 Z=85936030191 M=8397
A=7584 B=9767 C=9900 X=807602300 Y=9711026711 Z=98055624446 M=6906
A=2516 B=5999 C=9064 X=649416884 Y=8897594014 Z=48663835307 M=6763
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=4779 B=6261 C=8635 X=422475264 Y=6504899981 Z=27135233872 M=1739
A=4059 B=3945 C=8996 X=342224184 Y=3120282976 Z=15477015838 M=5153
A=4789 B=5042 C=9286 X=213335776 Y=1197731085 Z=45659508161 M=9316
A=8224 B=5751 C=9250 X=986008538 Y=9688631395 Z=30740748657 M=2189
A=5068 B=5685 C=5954 X=821029767 Y=6040326769 Z=62942925976 M=2950
A=7712 B=3818 C=8053 X=336498661 Y=6852963613 Z=67245225572 M=4328
A=9072 B=6184 C=6208 X=894654806 Y=7478835009 Z=70573754142 M=8175
A=7301 B=6187 C=5093 X=513095259 Y=2445239209 Z=65141577203 M=6365
A=7210 B=6521 C=6570 X=782366298 Y=7588778677 Z=71097401335 M=9299
A=9004 B=7481 C=9890 X=161010739 Y=3641180686 Z=56634538220 M=6435
A=7317 B=8968 C=7712 X=296831520 Y=3762499175 Z=77659175459 M=3279
A=2465 B=7507 C=6737 X=180482487 Y=9419010903 Z=25375068598 M=2058
A=3453 B=9407 C=9569 X=808340653 Y=2257193164 Z=66617342083 M=7438
A=9986 B=3112 C=9071 X=253038314 Y=3567352099 Z=50003345499 M=2353
A=4080 B=5519 C=6999 X=816630145 Y=4810402661 Z=15103016013 M=8159
A=2774 B=6190 C=6735 X=687676205 Y=2370815691 Z=41930193998 M=2428
A=8145 B=3031 C=5734 X=849748800 Y=2645856751 Z=20330122685 M=8886
A=7842 B=6407 C=7285 X=551700575 Y=8942976618 Z=22385838326 M=8792
A=7641 B=5711 C=7711 X=455865496 Y=3538003448 Z=67103909308 M=4938
A=4420 B=3803 C=6437 X=341382487 Y=9177043479 Z=86335419118 M=3721
A=4809 B=7443 C=6467 X=702730259 Y=5146137253 Z=16493295812 M=1984
A=6953 B=7383 C=7421 X=274774427 Y=4777718583 Z=36122065626 M=5059
A=5477 B=7903 C=9382 X=799382363 Y=1595835775 Z=43897852291 M=4165
A=6603 B=3957 C=5279 X=361105144 Y=7731010471 Z=70653567057 M=2458
A=7809 B=5334 C=5466 X=194667271 Y=7467204274 Z=29290305297 M=9530
A=7503 B=6086 C=7577 X=749042921 Y=5436585554 Z=35186167373 M=8587
A=3061 B=5551 C=5735 X=661380311 Y=5891115150 Z=94226301591 M=3504
